# This data is from a book claiming to be the
# worlds most challenging puzzle
#
# Hopefully the data is typed in correctly
# 
# The challange is to get from 1 to 45 and then from 45 to 1
#
# The actual challenge is to find the shortest maze, which may
#   be outside the scope of this project (depending on which 
#   project the data is being used)
r 45
i 1 20
i 1 26
i 1 41 
i 1 21
i 2 29
i 2 22
i 2 12
i 3 33
i 3 9
i 3 18
i 4 44
i 4 29
i 4 15
i 4 11
i 4 16
i 4 24
i 4 43
i 5 43
i 5 22
i 5 30
i 5 20
i 6 40
i 7 33
i 7 36
i 7 16
i 8 31
i 8 6
i 8 29
i 8 12
i 9 3
i 9 18
i 10 34
i 10 41
i 10 14
i 11 40
i 11 24
i 12 2
i 12 21
i 12 8
i 12 39
i 13 27
i 13 18
i 13 25
i 14 10
i 14 43
i 14 24
i 15 30
i 15 37
i 15 3
i 16 36
i 16 7
i 17 6
i 17 45
i 17 33
i 18 13
i 18 3
i 19 31
i 19 11
i 20 5
i 20 27
i 20 1
i 21 44
i 21 24
i 21 31
i 22 43
i 22 38
i 23 28
i 23 8
i 23 45
i 23 19
i 24 24
i 25 34
i 25 13
i 25 35
i 26 30
i 26 36
i 26 38
i 26 1
i 27 13
i 27 9  
i 28 23  
i 28 43  
i 28 45  
i 28 32  
i 29 8  
i 29 40  
i 29 35  
i 29 2  
i 30 42  
i 30 34  
i 30 5  
i 30 15  
i 31 44  
i 31 19  
i 33 21  
i 32 11  
i 32 6  
i 32 28  
i 32 16  
i 33 3  
i 33 35  
i 33 7  
i 34 10  
i 34 25  
i 35 33  
i 36 7  
i 36 16  
i 37 15  
i 37 10  
i 37 42  
i 37 20  
i 38 40  
i 38 22  
i 38 43  
i 39 11  
i 39 4  
i 39 12  
i 40 11  
i 40 6  
i 40 38  
i 41 1  
i 41 10  
i 41 38  
i 41 35  
i 42 22  
i 42 30  
i 42 4  
i 42 25  
i 42 37  
i 43 22  
i 43 38  
i 44 21  
i 44 18  
i 45 28  
i 45 17   
i 45 36  
i 45 19  
i 45 23  
# test for shortest path  
# for testing the Shortest Path with Project 7 (should fail at first)
s 1  45  
s 45  1   
# the hidden/missing door
i 29 17  
#including the missing door is needed to get from 1 to 45
s 1  45 
s 45  1 
